# id|name|duration|basePath|artist|album|coverPath
100010101|A tu lado|210|/users/storage/claudia_lorelle/audio/a_tu_lado|Claudia Lorelle|Lugar Secreto|/users/storage/claudia_lorelle/image/lugar_secreto.png
100010102|Luz de luna|198|/users/storage/claudia_lorelle/audio/luz_de_luna|Claudia Lorelle|Lugar Secreto|/users/storage/claudia_lorelle/image/lugar_secreto.png
100010103|Camino al mar|230|/users/storage/claudia_lorelle/audio/camino_al_mar|Claudia Lorelle|Lugar Secreto|/users/storage/claudia_lorelle/image/lugar_secreto.png
100010201|Cantares|205|/users/storage/claudia_lorelle/audio/cantares|Claudia Lorelle|Cantares|/users/storage/claudia_lorelle/image/cantares.png
100010202|Brisa de abril|187|/users/storage/claudia_lorelle/audio/brisa_de_abril|Claudia Lorelle|Cantares|/users/storage/claudia_lorelle/image/cantares.png

100020101|Colombia Tierra Querida|185|/users/storage/lucho_bermudez/audio/colombia_tierra_querida|Lucho Bermudez|Homenaje|/users/storage/lucho_bermudez/image/homenaje.png
100020102|Fiesta en corraleja|176|/users/storage/lucho_bermudez/audio/fiesta_en_corraleja|Lucho Bermudez|Homenaje|/users/storage/lucho_bermudez/image/homenaje.png
100020103|Tolú|180|/users/storage/lucho_bermudez/audio/tolu|Lucho Bermudez|Homenaje|/users/storage/lucho_bermudez/image/homenaje.png

100030101|La Rebelion|240|/users/storage/joe_arroyo/audio/la_rebelion|Joe Arroyo|Grandes Exitos|/users/storage/joe_arroyo/image/grandes_exitos.png
100030102|En Barranquilla me quedo|210|/users/storage/joe_arroyo/audio/en_barranquilla_me_quedo|Joe Arroyo|Grandes Exitos|/users/storage/joe_arroyo/image/grandes_exitos.png
100030103|Tania|200|/users/storage/joe_arroyo/audio/tania|Joe Arroyo|Grandes Exitos|/users/storage/joe_arroyo/image/grandes_exitos.png

100040101|La Gota Fria|215|/users/storage/carlos_vives/audio/la_gota_fria|Carlos Vives|Clasicos de la Provincia|/users/storage/carlos_vives/image/clasicos.png
100040201|La Tierra del Olvido|250|/users/storage/carlos_vives/audio/la_tierra_del_olvido|Carlos Vives|La Tierra del Olvido|/users/storage/carlos_vives/image/tierra_del_olvido.png
100040301|Fruta Fresca|214|/users/storage/carlos_vives/audio/fruta_fresca|Carlos Vives|El Amor de Mi Tierra|/users/storage/carlos_vives/image/el_amor_de_mi_tierra.png

100050101|Estoy Aqui|225|/users/storage/shakira/audio/estoy_aqui|Shakira|Pies Descalzos|/users/storage/shakira/image/pies_descalzos.png
100050102|Antologia|255|/users/storage/shakira/audio/antologia|Shakira|Pies Descalzos|/users/storage/shakira/image/pies_descalzos.png
100050201|Hips Don't Lie|218|/users/storage/shakira/audio/hips_dont_lie|Shakira|Fijacion Oral|/users/storage/shakira/image/fijacion_oral.png
100050202|La Tortura|226|/users/storage/shakira/audio/la_tortura|Shakira|Fijacion Oral|/users/storage/shakira/image/fijacion_oral.png

100060101|A Dios le Pido|196|/users/storage/juanes/audio/a_dios_le_pido|Juanes|Un Dia Normal|/users/storage/juanes/image/un_dia_normal.png
100060102|Es Por Ti|235|/users/storage/juanes/audio/es_por_ti|Juanes|Un Dia Normal|/users/storage/juanes/image/un_dia_normal.png
100060201|La Camisa Negra|210|/users/storage/juanes/audio/la_camisa_negra|Juanes|Mi Sangre|/users/storage/juanes/image/mi_sangre.png

100070101|Provenza|199|/users/storage/karol_g/audio/provenza|Karol G|Manana Sera Bonito|/users/storage/karol_g/image/manana_sera_bonito.png
100070201|Bichota|181|/users/storage/karol_g/audio/bichota|Karol G|KG0516|/users/storage/karol_g/image/kg0516.png

100080101|HP|193|/users/storage/maluma/audio/hp|Maluma|11:11|/users/storage/maluma/image/1111.png
100080201|Felices los 4|204|/users/storage/maluma/audio/felices_los_4|Maluma|F.A.M.E.|/users/storage/maluma/image/fame.png

100090101|Te Mando Flores|200|/users/storage/fonseca/audio/te_mando_flores|Fonseca|Ilusion|/users/storage/fonseca/image/ilusion.png

100100101|De Donde Vengo Yo|220|/users/storage/chocquibtown/audio/de_donde_vengo_yo|ChocQuibTown|Oro|/users/storage/chocquibtown/image/oro.png

100110101|La Candela Viva|210|/users/storage/toto_la_momposina/audio/la_candela_viva|Toto la Momposina|La Candela Viva|/users/storage/toto_la_momposina/image/la_candela_viva.png

100120101|Ruiseñora|206|/users/storage/andrea_echeverri/audio/ruisenora|Andrea Echeverri|Ruiseñora|/users/storage/andrea_echeverri/image/ruisenora.png

